equation,type_eq,answer,reasoning,label,source_file,true_answer,solution_latex,llm_solution,normalized_equation,token_text,token_count,label_id,split
-3y^{\prime\prime} -3y^{\prime} + 4y = sh(2x),inhomogenous 2nd order,y{\left(x \right)} = C_{1} e^{\frac{x \left(-3 + \sqrt{57}\right)}{6}} + C_{2} e^{- \frac{x \left(3 + \sqrt{57}\right)}{6}} - \frac{2 \sinh{\left(2 x \right)}}{7} + \frac{3 \cosh{\left(2 x \right)}}{14},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: -3y'' - 3y' + 4y = 0. The characteristic equation is -3r² - 3r + 4 = 0. Using the quadratic formula: r = (3 ± √(9 + 48))/(-6) = (3 ± √57)/(-6) = (-3 ∓ √57)/6. So r₁ = (-3 + √57)/6 and r₂ = (-3 - √57)/6. The homogeneous solution is y_h = C₁e^((-3+√57)x/6) + C₂e^(-(3+√57)x/6). For the particular solution, since the right side is sinh(2x), we try y_p = A*cosh(2x) + B*sinh(2x). Taking derivatives: y_p' = 2A*sinh(2x) + 2B*cosh(2x), y_p'' = 4A*cosh(2x) + 4B*sinh(2x). Substituting into the equation: -3(4A*cosh(2x) + 4B*sinh(2x)) - 3(2A*sinh(2x) + 2B*cosh(2x)) + 4(A*cosh(2x) + B*sinh(2x)) = sinh(2x). Simplifying: (-12A - 6B + 4A)cosh(2x) + (-12B - 6A + 4B)sinh(2x) = sinh(2x). This gives us the system: -8A - 6B = 0 and -8B - 6A = 1. From the first: A = -3B/4. Substituting: -8B - 6(-3B/4) = 1 → -8B + 9B/2 = 1 → (-16B + 9B)/2 = 1 → -7B/2 = 1 → B = -2/7. Then A = -3(-2/7)/4 = 6/28 = 3/14. So y_p = (3/14)cosh(2x) - (2/7)sinh(2x). The general solution is y = y_h + y_p = C₁e^((−3+√57)x/6) + C₂e^(-(3+√57)x/6) + (3/14)cosh(2x) - (2/7)sinh(2x). Converting to sinh and cosh terms: y(x) = C₁e^((−3+√57)x/6) + C₂e^(-(3+√57)x/6) - (2sinh(2x))/7 + (3cosh(2x))/14. \boxed{y{\left(x \right)} = C_{1} e^{\frac{x \left(-3 + \sqrt{57}\right)}{6}} + C_{2} e^{- \frac{x \left(3 + \sqrt{57}\right)}{6}} - \frac{2 \sinh{\left(2 x \right)}}{7} + \frac{3 \cosh{\left(2 x \right)}}{14}}",unhomogenous,train_with_reasoning_short.xlsx,,,,-3y^{\prime\prime}-3y^{\prime}+4y=sh(2x),- 3 y ^ { prime prime } - 3 y ^ { prime } + 4 y = sh ( 2 x ),24,2,test
2y^{\prime\prime} + 3y^{\prime} -2y = ch(x),inhomogenous 2nd order,y{\left(x \right)} = C_{1} e^{- 2 x} + C_{2} e^{\frac{x}{2}} + \frac{\sinh{\left(x \right)}}{3},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: 2y'' + 3y' - 2y = 0. The characteristic equation is 2r² + 3r - 2 = 0. Using the quadratic formula: r = (-3 ± √(9 + 16))/4 = (-3 ± √25)/4 = (-3 ± 5)/4. So r₁ = (-3 + 5)/4 = 1/2 and r₂ = (-3 - 5)/4 = -2. The homogeneous solution is y_h = C₁e^(x/2) + C₂e^(-2x). For the particular solution, since the right side is cosh(x), we try y_p = A*cosh(x) + B*sinh(x). Taking derivatives: y_p' = A*sinh(x) + B*cosh(x), y_p'' = A*cosh(x) + B*sinh(x). Substituting into the equation: 2(A*cosh(x) + B*sinh(x)) + 3(A*sinh(x) + B*cosh(x)) - 2(A*cosh(x) + B*sinh(x)) = cosh(x). Simplifying: (2A + 3B - 2A)cosh(x) + (2B + 3A - 2B)sinh(x) = cosh(x). This gives us: 3B = 1 and 3A = 0. So B = 1/3 and A = 0. Thus y_p = (1/3)sinh(x). The general solution is y = y_h + y_p = C₁e^(x/2) + C₂e^(-2x) + (1/3)sinh(x). \boxed{y{\left(x \right)} = C_{1} e^{- 2 x} + C_{2} e^{\frac{x}{2}} + \frac{\sinh{\left(x \right)}}{3}}",unhomogenous,train_with_reasoning_short.xlsx,,,,2y^{\prime\prime}+3y^{\prime}-2y=ch(x),2 y ^ { prime prime } + 3 y ^ { prime } - 2 y = ch ( x ),22,2,valid
-y^{\prime\prime} + y^{\prime} + 3y = x^{2},inhomogenous 2nd order,y{\left(x \right)} = C_{1} e^{\frac{x \left(1 - \sqrt{13}\right)}{2}} + C_{2} e^{\frac{x \left(1 + \sqrt{13}\right)}{2}} + \frac{x^{2}}{3} - \frac{2 x}{9} + \frac{8}{27},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: -y'' + y' + 3y = 0. The characteristic equation is -r² + r + 3 = 0 or r² - r - 3 = 0. Using the quadratic formula: r = (1 ± √(1 + 12))/2 = (1 ± √13)/2. So r₁ = (1 + √13)/2 and r₂ = (1 - √13)/2. The homogeneous solution is y_h = C₁e^((1+√13)x/2) + C₂e^((1-√13)x/2). For the particular solution, since the right side is x², we try y_p = Ax² + Bx + C. Taking derivatives: y_p' = 2Ax + B, y_p'' = 2A. Substituting into the equation: -(2A) + (2Ax + B) + 3(Ax² + Bx + C) = x². Simplifying: 3Ax² + (2A + 3B)x + (-2A + B + 3C) = x². Comparing coefficients: 3A = 1, 2A + 3B = 0, -2A + B + 3C = 0. From the first: A = 1/3. From the second: 2(1/3) + 3B = 0 → 2/3 + 3B = 0 → B = -2/9. From the third: -2(1/3) + (-2/9) + 3C = 0 → -2/3 - 2/9 + 3C = 0 → -6/9 - 2/9 + 3C = 0 → -8/9 + 3C = 0 → C = 8/27. So y_p = (1/3)x² - (2/9)x + 8/27. The general solution is y = y_h + y_p = C₁e^((1+√13)x/2) + C₂e^((1-√13)x/2) + (1/3)x² - (2/9)x + 8/27. \boxed{y{\left(x \right)} = C_{1} e^{\frac{x \left(1 - \sqrt{13}\right)}{2}} + C_{2} e^{\frac{x \left(1 + \sqrt{13}\right)}{2}} + \frac{x^{2}}{3} - \frac{2 x}{9} + \frac{8}{27}}",unhomogenous,train_with_reasoning_short.xlsx,,,,-y^{\prime\prime}+y^{\prime}+3y=x^{2},- y ^ { prime prime } + y ^ { prime } + 3 y = x ^ { 2 },22,2,train
4y^{\prime\prime} -2y^{\prime} -5y = x^{2},inhomogenous 2nd order,y{\left(x \right)} = C_{1} e^{\frac{x \left(1 - \sqrt{21}\right)}{4}} + C_{2} e^{\frac{x \left(1 + \sqrt{21}\right)}{4}} - \frac{x^{2}}{5} + \frac{4 x}{25} - \frac{48}{125},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: 4y'' - 2y' - 5y = 0. The characteristic equation is 4r² - 2r - 5 = 0. Using the quadratic formula: r = (2 ± √(4 + 80))/8 = (2 ± √84)/8 = (2 ± 2√21)/8 = (1 ± √21)/4. So r₁ = (1 + √21)/4 and r₂ = (1 - √21)/4. The homogeneous solution is y_h = C₁e^((1+√21)x/4) + C₂e^((1-√21)x/4). For the particular solution, since the right side is x², we try y_p = Ax² + Bx + C. Taking derivatives: y_p' = 2Ax + B, y_p'' = 2A. Substituting into the equation: 4(2A) - 2(2Ax + B) - 5(Ax² + Bx + C) = x². Simplifying: 8A - 4Ax - 2B - 5Ax² - 5Bx - 5C = x². Rearranging: -5Ax² + (-4A - 5B)x + (8A - 2B - 5C) = x². Comparing coefficients: -5A = 1, -4A - 5B = 0, 8A - 2B - 5C = 0. From the first: A = -1/5. From the second: -4(-1/5) - 5B = 0 → 4/5 - 5B = 0 → B = 4/25. From the third: 8(-1/5) - 2(4/25) - 5C = 0 → -8/5 - 8/25 - 5C = 0 → -40/25 - 8/25 - 5C = 0 → -48/25 - 5C = 0 → C = -48/125. So y_p = -(1/5)x² + (4/25)x - 48/125. The general solution is y = y_h + y_p = C₁e^((1+√21)x/4) + C₂e^((1-√21)x/4) - (1/5)x² + (4/25)x - 48/125. \boxed{y{\left(x \right)} = C_{1} e^{\frac{x \left(1 - \sqrt{21}\right)}{4}} + C_{2} e^{\frac{x \left(1 + \sqrt{21}\right)}{4}} - \frac{x^{2}}{5} + \frac{4 x}{25} - \frac{48}{125}}",unhomogenous,train_with_reasoning_short.xlsx,,,,4y^{\prime\prime}-2y^{\prime}-5y=x^{2},4 y ^ { prime prime } - 2 y ^ { prime } - 5 y = x ^ { 2 },23,2,train
-y^{\prime\prime} + 4y^{\prime} -5y = sh(2x),inhomogenous 2nd order,y{\left(x \right)} = \left(C_{1} \sin{\left(x \right)} + C_{2} \cos{\left(x \right)}\right) e^{2 x} - \frac{9 \sinh{\left(2 x \right)}}{17} - \frac{8 \cosh{\left(2 x \right)}}{17},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: -y'' + 4y' - 5y = 0. The characteristic equation is -r² + 4r - 5 = 0 or r² - 4r + 5 = 0. Using the quadratic formula: r = (4 ± √(16 - 20))/2 = (4 ± √(-4))/2 = (4 ± 2i)/2 = 2 ± i. Since we have complex roots α ± βi where α = 2 and β = 1, the homogeneous solution is y_h = e^(2x)(C₁sin(x) + C₂cos(x)). For the particular solution, since the right side is sinh(2x), we try y_p = A*cosh(2x) + B*sinh(2x). Taking derivatives: y_p' = 2A*sinh(2x) + 2B*cosh(2x), y_p'' = 4A*cosh(2x) + 4B*sinh(2x). Substituting into the equation: -(4A*cosh(2x) + 4B*sinh(2x)) + 4(2A*sinh(2x) + 2B*cosh(2x)) - 5(A*cosh(2x) + B*sinh(2x)) = sinh(2x). Simplifying: (-4A + 8B - 5A)cosh(2x) + (-4B + 8A - 5B)sinh(2x) = sinh(2x). This gives us: -9A + 8B = 0 and 8A - 9B = 1. From the first: A = 8B/9. Substituting: 8(8B/9) - 9B = 1 → 64B/9 - 9B = 1 → (64B - 81B)/9 = 1 → -17B/9 = 1 → B = -9/17. Then A = 8(-9/17)/9 = -8/17. So y_p = -(8/17)cosh(2x) - (9/17)sinh(2x). The general solution is y = y_h + y_p = e^(2x)(C₁sin(x) + C₂cos(x)) - (8/17)cosh(2x) - (9/17)sinh(2x). Converting to sinh and cosh terms: y(x) = e^(2x)(C₁sin(x) + C₂cos(x)) - (9sinh(2x))/17 - (8cosh(2x))/17. \boxed{y{\left(x \right)} = \left(C_{1} \sin{\left(x \right)} + C_{2} \cos{\left(x \right)}\right) e^{2 x} - \frac{9 \sinh{\left(2 x \right)}}{17} - \frac{8 \cosh{\left(2 x \right)}}{17}}",unhomogenous,train_with_reasoning_short.xlsx,,,,-y^{\prime\prime}+4y^{\prime}-5y=sh(2x),- y ^ { prime prime } + 4 y ^ { prime } - 5 y = sh ( 2 x ),23,2,valid
5y^{\prime\prime} -2y^{\prime} + 4y = \cos(x),inhomogenous 2nd order,y{\left(x \right)} = \left(C_{1} \sin{\left(\frac{\sqrt{19} x}{5} \right)} + C_{2} \cos{\left(\frac{\sqrt{19} x}{5} \right)}\right) e^{\frac{x}{5}} - \frac{2 \sin{\left(x \right)}}{5} - \frac{\cos{\left(x \right)}}{5},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: 5y'' - 2y' + 4y = 0. The characteristic equation is 5r² - 2r + 4 = 0. Using the quadratic formula: r = (2 ± √(4 - 80))/10 = (2 ± √(-76))/10 = (2 ± 2i√19)/10 = (1 ± i√19)/5. Since we have complex roots α ± βi where α = 1/5 and β = √19/5, the homogeneous solution is y_h = e^(x/5)(C₁sin(√19x/5) + C₂cos(√19x/5)). For the particular solution, since the right side is cos(x), we try y_p = A*cos(x) + B*sin(x). Taking derivatives: y_p' = -A*sin(x) + B*cos(x), y_p'' = -A*cos(x) - B*sin(x). Substituting into the equation: 5(-A*cos(x) - B*sin(x)) - 2(-A*sin(x) + B*cos(x)) + 4(A*cos(x) + B*sin(x)) = cos(x). Simplifying: (-5A - 2B + 4A)cos(x) + (-5B + 2A + 4B)sin(x) = cos(x). This gives us: -A - 2B = 1 and 2A - B = 0. From the second: B = 2A. Substituting: -A - 2(2A) = 1 → -A - 4A = 1 → -5A = 1 → A = -1/5. Then B = 2(-1/5) = -2/5. So y_p = -(1/5)cos(x) - (2/5)sin(x). The general solution is y = y_h + y_p = e^(x/5)(C₁sin(√19x/5) + C₂cos(√19x/5)) - (1/5)cos(x) - (2/5)sin(x). \boxed{y{\left(x \right)} = \left(C_{1} \sin{\left(\frac{\sqrt{19} x}{5} \right)} + C_{2} \cos{\left(\frac{\sqrt{19} x}{5} \right)}\right) e^{\frac{x}{5}} - \frac{2 \sin{\left(x \right)}}{5} - \frac{\cos{\left(x \right)}}{5}}",unhomogenous,train_with_reasoning_short.xlsx,,,,5y^{\prime\prime}-2y^{\prime}+4y=\cos(x),5 y ^ { prime prime } - 2 y ^ { prime } + 4 y = cos ( x ),22,2,test
3y^{\prime\prime} + 0y^{\prime} + 5y = \cos(2 * x),inhomogenous 2nd order,y{\left(x \right)} = C_{1} \sin{\left(\frac{\sqrt{15} x}{3} \right)} + C_{2} \cos{\left(\frac{\sqrt{15} x}{3} \right)} - \frac{\cos{\left(2 x \right)}}{7},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: 3y'' + 5y = 0. The characteristic equation is 3r² + 5 = 0. Solving: r² = -5/3, so r = ±i√(5/3) = ±i√15/3. Since we have purely imaginary roots ±βi where β = √15/3, the homogeneous solution is y_h = C₁sin(√15x/3) + C₂cos(√15x/3). For the particular solution, since the right side is cos(2x) and 2 ≠ √15/3, we try y_p = A*cos(2x) + B*sin(2x). Taking derivatives: y_p' = -2A*sin(2x) + 2B*cos(2x), y_p'' = -4A*cos(2x) - 4B*sin(2x). Substituting into the equation: 3(-4A*cos(2x) - 4B*sin(2x)) + 5(A*cos(2x) + B*sin(2x)) = cos(2x). Simplifying: (-12A + 5A)cos(2x) + (-12B + 5B)sin(2x) = cos(2x). This gives us: -7A = 1 and -7B = 0. So A = -1/7 and B = 0. Thus y_p = -(1/7)cos(2x). The general solution is y = y_h + y_p = C₁sin(√15x/3) + C₂cos(√15x/3) - (1/7)cos(2x). \boxed{y{\left(x \right)} = C_{1} \sin{\left(\frac{\sqrt{15} x}{3} \right)} + C_{2} \cos{\left(\frac{\sqrt{15} x}{3} \right)} - \frac{\cos{\left(2 x \right)}}{7}}",unhomogenous,train_with_reasoning_short.xlsx,,,,3y^{\prime\prime}+0y^{\prime}+5y=\cos(2*x),3 y ^ { prime prime } + 0 y ^ { prime } + 5 y = cos ( 2 * x ),24,2,train
-4y^{\prime\prime} + 2y^{\prime} -y = x,inhomogenous 2nd order,y{\left(x \right)} = - x + \left(C_{1} \sin{\left(\frac{\sqrt{3} x}{4} \right)} + C_{2} \cos{\left(\frac{\sqrt{3} x}{4} \right)}\right) e^{\frac{x}{4}} - 2,"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: -4y'' + 2y' - y = 0. The characteristic equation is -4r² + 2r - 1 = 0 or 4r² - 2r + 1 = 0. Using the quadratic formula: r = (2 ± √(4 - 16))/8 = (2 ± √(-12))/8 = (2 ± 2i√3)/8 = (1 ± i√3)/4. Since we have complex roots α ± βi where α = 1/4 and β = √3/4, the homogeneous solution is y_h = e^(x/4)(C₁sin(√3x/4) + C₂cos(√3x/4)). For the particular solution, since the right side is x, we try y_p = Ax + B. Taking derivatives: y_p' = A, y_p'' = 0. Substituting into the equation: -4(0) + 2(A) - (Ax + B) = x. Simplifying: 2A - Ax - B = x. Rearranging: -Ax + (2A - B) = x. Comparing coefficients: -A = 1 and 2A - B = 0. From the first: A = -1. From the second: 2(-1) - B = 0 → -2 - B = 0 → B = -2. So y_p = -x - 2. The general solution is y = y_h + y_p = e^(x/4)(C₁sin(√3x/4) + C₂cos(√3x/4)) - x - 2. \boxed{y{\left(x \right)} = - x + \left(C_{1} \sin{\left(\frac{\sqrt{3} x}{4} \right)} + C_{2} \cos{\left(\frac{\sqrt{3} x}{4} \right)}\right) e^{\frac{x}{4}} - 2}",unhomogenous,train_with_reasoning_short.xlsx,,,,-4y^{\prime\prime}+2y^{\prime}-y=x,- 4 y ^ { prime prime } + 2 y ^ { prime } - y = x,19,2,train
-3y^{\prime\prime} + 3y^{\prime} -3y = sh(x),inhomogenous 2nd order,y{\left(x \right)} = \left(C_{1} \sin{\left(\frac{\sqrt{3} x}{2} \right)} + C_{2} \cos{\left(\frac{\sqrt{3} x}{2} \right)}\right) e^{\frac{x}{2}} - \frac{2 \sinh{\left(x \right)}}{9} - \frac{\cosh{\left(x \right)}}{9},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: -3y'' + 3y' - 3y = 0. The characteristic equation is -3r² + 3r - 3 = 0 or r² - r + 1 = 0. Using the quadratic formula: r = (1 ± √(1 - 4))/2 = (1 ± √(-3))/2 = (1 ± i√3)/2. Since we have complex roots α ± βi where α = 1/2 and β = √3/2, the homogeneous solution is y_h = e^(x/2)(C₁sin(√3x/2) + C₂cos(√3x/2)). For the particular solution, since the right side is sinh(x), we try y_p = A*cosh(x) + B*sinh(x). Taking derivatives: y_p' = A*sinh(x) + B*cosh(x), y_p'' = A*cosh(x) + B*sinh(x). Substituting into the equation: -3(A*cosh(x) + B*sinh(x)) + 3(A*sinh(x) + B*cosh(x)) - 3(A*cosh(x) + B*sinh(x)) = sinh(x). Simplifying: (-3A + 3B - 3A)cosh(x) + (-3B + 3A - 3B)sinh(x) = sinh(x). This gives us: (-6A + 3B) = 0 and (-6B + 3A) = 1. From the first: 3B = 6A → B = 2A. Substituting: -6(2A) + 3A = 1 → -12A + 3A = 1 → -9A = 1 → A = -1/9. Then B = 2(-1/9) = -2/9. So y_p = -(1/9)cosh(x) - (2/9)sinh(x). The general solution is y = y_h + y_p = e^(x/2)(C₁sin(√3x/2) + C₂cos(√3x/2)) - (1/9)cosh(x) - (2/9)sinh(x). Converting to sinh and cosh terms: y(x) = e^(x/2)(C₁sin(√3x/2) + C₂cos(√3x/2)) - (2sinh(x))/9 - (cosh(x))/9. \boxed{y{\left(x \right)} = \left(C_{1} \sin{\left(\frac{\sqrt{3} x}{2} \right)} + C_{2} \cos{\left(\frac{\sqrt{3} x}{2} \right)}\right) e^{\frac{x}{2}} - \frac{2 \sinh{\left(x \right)}}{9} - \frac{\cosh{\left(x \right)}}{9}}",unhomogenous,train_with_reasoning_short.xlsx,,,,-3y^{\prime\prime}+3y^{\prime}-3y=sh(x),- 3 y ^ { prime prime } + 3 y ^ { prime } - 3 y = sh ( x ),23,2,train
-5y^{\prime\prime} + 0y^{\prime} + 4y = ch(2x),inhomogenous 2nd order,y{\left(x \right)} = C_{1} e^{- \frac{2 \sqrt{5} x}{5}} + C_{2} e^{\frac{2 \sqrt{5} x}{5}} - \frac{\cosh{\left(2 x \right)}}{16},"This is a second-order linear inhomogeneous differential equation. First, solve the homogeneous part: -5y'' + 4y = 0. The characteristic equation is -5r² + 4 = 0. Solving: -5r² = -4 → r² = 4/5 → r = ±√(4/5) = ±2√5/5. The homogeneous solution is y_h = C₁e^(2√5x/5) + C₂e^(-2√5x/5). For the particular solution, since the right side is cosh(2x), we try y_p = A*cosh(2x) + B*sinh(2x). Taking derivatives: y_p' = 2A*sinh(2x) + 2B*cosh(2x), y_p'' = 4A*cosh(2x) + 4B*sinh(2x). Substituting into the equation: -5(4A*cosh(2x) + 4B*sinh(2x)) + 4(A*cosh(2x) + B*sinh(2x)) = cosh(2x). Simplifying: (-20A + 4A)cosh(2x) + (-20B + 4B)sinh(2x) = cosh(2x). This gives us: -16A = 1 and -16B = 0. So A = -1/16 and B = 0. Thus y_p = -(1/16)cosh(2x). The general solution is y = y_h + y_p = C₁e^(2√5x/5) + C₂e^(-2√5x/5) - (1/16)cosh(2x). \boxed{y{\left(x \right)} = C_{1} e^{- \frac{2 \sqrt{5} x}{5}} + C_{2} e^{\frac{2 \sqrt{5} x}{5}} - \frac{\cosh{\left(2 x \right)}}{16}}",unhomogenous,train_with_reasoning_short.xlsx,,,,-5y^{\prime\prime}+0y^{\prime}+4y=ch(2x),- 5 y ^ { prime prime } + 0 y ^ { prime } + 4 y = ch ( 2 x ),24,2,train
